0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:58 +0900] "GET /tripin/place_list.do?theme=%EC%88%99%EC%86%8C&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 58152
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:58 +0900] "GET /tripin/place_list/json?theme_id=5 HTTP/1.1" 200 47673
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:58 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:59 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:59 +0900] "GET /tripin/place_list/json?theme_id=6 HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:59 +0900] "GET /tripin/place_list.do?theme=%EC%87%BC%ED%95%91&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 11040
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:59 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:00 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:00 +0900] "GET /tripin/place_list/json?theme_id=2 HTTP/1.1" 200 1051715
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:00 +0900] "GET /tripin/place_list.do?theme=%EB%AC%B8%ED%99%94&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 1137233
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:00 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:02 +0900] "GET /tripin/place_list/json?theme_id=1 HTTP/1.1" 200 87888
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:02 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:02 +0900] "GET /tripin/place_list.do?theme=%EC%9E%90%EC%97%B0&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 103655
0:0:0:0:0:0:0:1 - - [21/May/2025:14:33:02 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
